domain_length,entropy,num_subdomains,has_dnssec,has_ds_records,has_spf,has_dmarc,record_types_count,ttl_value,is_malicious,num_digits,num_hyphens,health_score
29,2.351485341070561,4,1,0,0,1,6,86400,0,8,1,100.0
49,3.9736044242610964,4,1,0,0,0,6,86400,1,4,0,55.0
45,1.7227226189651592,1,1,0,0,1,3,300,0,6,1,100.0
33,2.1790544830244576,2,1,0,1,0,3,3600,0,7,0,100.0
19,3.6907384412704376,2,0,0,1,1,4,86400,0,4,0,88.0
49,3.296424889150474,0,0,0,0,1,7,86400,0,2,2,87.0
5,1.6934738137475027,1,1,0,0,0,2,300,0,5,1,83.0
29,4.131718371486601,0,0,0,1,0,7,300,0,6,1,87.0
11,4.131785288478539,3,0,0,1,0,1,86400,0,3,1,77.0
13,2.4912240116273217,4,1,1,0,0,2,300,0,8,0,86.0
28,2.521217530048694,0,0,0,1,0,7,300,0,3,2,92.0
5,4.467085075050521,4,1,0,0,0,2,86400,0,9,0,79.0
48,3.378528514779415,1,1,1,1,0,5,3600,0,1,2,100.0
12,3.0939495617041772,3,1,0,1,1,1,3600,0,8,0,99.0
28,4.0144565506557734,1,1,1,1,0,3,86400,0,3,1,100.0
15,2.3558710150719495,3,1,0,0,0,2,300,0,3,0,86.0
21,2.7875477801890707,3,1,0,0,0,7,86400,0,9,1,95.0
12,2.3033300264650025,4,0,0,1,1,4,86400,0,0,2,88.0
39,3.8674825397661943,1,0,1,0,0,2,300,0,1,1,81.0
39,3.220048036905654,1,1,0,1,0,3,3600,0,2,1,100.0
37,3.4764752104202117,0,1,1,1,0,7,3600,1,6,1,77.0
9,2.2569217495182197,1,0,0,1,0,2,300,1,8,1,51.0
46,2.160675904131945,0,0,1,1,0,6,86400,0,4,2,100.0
43,2.965123886948816,2,0,0,1,0,5,300,0,3,0,87.0
45,3.7126972472784803,2,0,0,1,0,5,86400,0,1,0,85.0
32,3.0757192725604803,2,1,1,0,1,2,300,0,6,0,98.0
11,1.597937032637006,1,1,1,0,1,5,300,0,5,0,100.0
13,4.105654518960867,1,0,0,0,0,4,3600,0,6,1,73.0
12,1.6940606805453946,0,0,0,0,1,1,3600,1,7,2,54.0
16,4.367473451162256,3,0,0,1,0,2,300,0,8,2,76.0
38,1.5754258748318182,0,1,0,1,0,4,300,0,9,0,100.0
37,3.583351368392126,2,0,0,1,0,6,3600,0,4,0,85.0
27,1.746621191135345,0,0,0,1,0,4,86400,0,4,2,90.0
28,4.232029738305419,3,0,0,1,0,4,3600,0,3,2,83.0
41,2.8932997086766283,1,0,0,1,1,6,86400,0,2,1,90.0
39,1.9125713244510463,0,0,0,0,1,3,3600,0,6,2,83.0
48,2.52244709936954,2,0,0,1,0,2,3600,0,4,2,84.0
44,1.9944740260402862,2,0,0,0,0,2,86400,0,6,1,66.0
26,2.01174573467127,1,0,0,1,0,2,300,0,1,1,86.0
31,4.344324960514326,0,0,0,0,0,1,3600,0,8,1,62.0
39,2.8357383368543645,3,1,0,1,0,4,3600,0,8,2,100.0
5,3.866406791716079,1,1,0,1,1,2,3600,1,8,2,69.0
39,3.418816683533046,0,1,1,1,0,5,300,0,4,2,100.0
41,3.5292790870151767,4,1,0,1,1,3,3600,0,9,1,96.0
18,1.8950803154161155,2,0,1,1,0,6,300,0,8,2,100.0
7,2.202553340446457,3,0,0,0,1,6,3600,1,0,2,55.0
5,3.8602510054633106,3,0,1,0,1,1,86400,0,1,1,92.0
9,4.412298619424349,3,1,0,1,1,7,3600,0,9,0,100.0
30,2.288026927795955,2,1,0,0,1,6,3600,0,4,0,100.0
18,2.31470629425312,0,0,0,0,0,3,300,1,4,2,43.0
43,2.9186913984327143,1,0,0,0,0,7,300,0,5,1,72.0
31,4.451520938566313,0,0,0,0,1,4,300,0,7,1,80.0
13,2.3068768374794133,1,1,0,0,0,6,86400,0,0,2,100.0
19,2.7209157289027917,3,0,0,0,1,7,86400,0,9,2,90.0
19,4.1744400468705205,0,0,0,0,0,7,300,0,8,0,72.0
30,1.508763097864086,3,0,0,0,0,6,86400,0,3,1,72.0
46,1.6192978949657086,4,0,1,1,0,5,300,0,7,2,99.0
17,3.3122150312136576,3,1,0,1,1,4,86400,1,4,1,75.0
36,4.222140494138541,3,0,0,0,1,2,300,0,0,2,71.0
43,2.216569981205783,1,1,0,1,0,3,300,0,8,0,100.0
36,2.908925324042127,4,0,1,0,0,6,86400,0,7,2,90.0
8,2.851395904973455,3,1,0,1,1,5,3600,0,4,0,100.0
34,2.9189140382865304,3,1,0,1,1,3,300,0,3,0,98.0
41,3.3675590871892354,4,0,0,1,0,7,300,0,7,2,79.0
27,2.9092312889720513,4,0,0,1,1,1,3600,0,8,2,82.0
43,2.8424044239673734,0,1,0,0,0,5,300,0,6,0,92.0
49,2.9228652612937815,1,0,0,0,0,7,300,0,3,1,72.0
19,3.2726023238131248,4,1,1,1,0,1,86400,0,6,1,99.0
47,3.111022465054075,4,1,0,0,1,6,3600,1,5,0,72.0
33,4.062407992951513,2,1,0,0,1,5,300,1,2,0,72.0
40,1.6484905604809998,4,0,0,0,1,2,300,1,9,2,43.0
17,3.9999512144190374,1,0,0,0,1,7,3600,0,2,2,90.0
36,4.031773837835172,3,0,0,1,0,3,3600,0,0,0,76.0
11,2.3547240645928826,3,0,0,1,1,3,86400,1,4,0,56.0
26,2.888555865047552,3,1,0,0,0,7,86400,0,7,1,95.0
32,2.8156154656123062,3,1,0,0,1,7,86400,0,5,1,100.0
6,2.155529503062391,2,0,0,1,0,4,300,0,7,1,85.0
46,2.6903905412589495,4,1,0,1,1,5,3600,0,6,0,100.0
49,1.6331633165125634,3,0,0,1,1,5,86400,0,1,0,82.0
10,2.3334662183452033,0,0,0,1,1,7,3600,0,7,1,95.0
32,3.9500465263521543,3,1,0,1,1,1,300,0,3,1,89.0
32,2.3536869052886926,4,1,0,1,0,5,300,0,4,2,100.0
48,3.9546200062447427,3,0,0,1,1,3,3600,0,7,2,76.0
48,3.0947983938132926,2,1,0,0,0,5,3600,0,4,0,92.0
24,4.13958803208348,1,0,0,1,1,4,86400,0,4,2,88.0
34,3.2243386627932455,1,0,0,0,1,4,3600,0,5,0,85.0
15,1.5890046691942195,4,0,1,1,0,7,86400,0,6,0,100.0
32,3.5262606226412676,1,1,0,0,1,3,3600,0,8,0,100.0
29,1.634560704070706,1,0,0,1,0,3,3600,0,6,1,88.0
43,2.851791056949402,0,0,0,0,1,3,3600,0,5,2,86.0
37,4.288280083419342,4,0,0,1,1,5,300,0,9,2,77.0
5,1.9956118180135505,4,1,1,0,0,5,300,0,3,2,84.0
31,2.6696170588246324,1,0,0,0,0,2,300,0,9,2,66.0
17,3.6895809265454353,1,0,0,0,0,6,86400,0,1,1,75.0
45,4.146775668284542,1,0,0,0,1,7,86400,0,8,2,85.0
7,3.5128290142275236,2,0,1,0,1,6,300,0,9,2,100.0
43,2.2745197625735076,3,1,0,0,0,1,300,0,4,1,79.0
10,3.5238235587486484,2,0,1,1,1,5,3600,0,4,2,100.0
12,2.39018292331227,4,1,0,0,0,2,3600,1,2,2,59.0
31,3.655287689456206,0,0,0,0,0,2,86400,1,2,1,34.0
13,4.3620993827551215,3,1,0,1,0,4,86400,0,0,1,100.0
41,3.664180353318865,0,0,1,1,0,5,3600,0,4,1,100.0
37,4.088641508737237,4,0,1,0,0,2,86400,1,2,1,49.0
46,1.5063115295276504,4,0,0,0,0,4,300,1,1,0,32.0
48,3.652716374194783,0,1,0,1,0,1,3600,0,8,1,97.0
28,3.988762670595751,0,1,0,0,1,4,3600,0,9,2,100.0
19,1.6216762126340443,0,0,0,0,0,1,86400,0,5,2,69.0
36,4.114793181864692,4,1,0,1,0,6,3600,0,2,2,100.0
36,2.2700826849301374,1,0,0,0,0,6,3600,0,6,2,75.0
28,3.4958763059341655,0,0,0,1,0,3,300,0,8,0,85.0
45,3.90106463707022,3,0,0,0,0,3,3600,0,8,0,61.0
16,3.4879935391780665,4,0,0,1,0,7,3600,1,0,0,57.0
43,1.7768543762197717,2,1,0,1,1,4,3600,0,1,2,100.0
6,3.2889645565811048,2,0,1,0,1,7,3600,0,7,2,100.0
7,3.148750970166431,3,0,0,1,0,3,300,0,0,1,75.0
41,4.200963804222814,1,0,0,1,0,5,3600,0,2,1,85.0
21,2.7127191889326276,0,0,0,0,0,4,300,1,6,2,45.0
6,2.4632432912611506,4,0,0,1,0,2,300,0,7,1,76.0
6,3.7495522933093985,0,0,0,0,1,5,300,0,4,1,82.0
32,2.7380259782501897,4,0,0,1,1,7,86400,0,1,2,85.0
27,3.438288525015189,2,0,0,0,1,4,86400,0,2,0,90.0
41,3.439350270373821,0,0,1,0,0,7,3600,0,8,2,92.0
36,4.1641171930803536,3,0,0,0,1,6,300,0,9,2,77.0
37,3.296077206957292,1,0,0,0,0,1,86400,0,6,1,64.0
5,3.0064608298859605,3,0,1,0,0,7,3600,0,0,1,87.0
23,1.9166139791895511,1,0,0,1,0,3,86400,0,2,2,88.0
6,1.8472128200361162,0,0,0,1,1,3,300,1,8,0,50.0
48,1.9629646958492382,0,0,1,0,1,3,3600,0,6,2,100.0
30,2.0155454439812837,1,0,0,0,0,4,300,1,1,0,45.0
36,3.413631277990902,2,0,0,1,0,5,300,0,5,0,84.0
10,3.7229437508237355,4,0,1,0,1,1,86400,1,8,2,67.0
36,3.0899745687792564,3,0,0,0,1,3,3600,0,3,2,78.0
8,3.987053197636473,3,1,1,1,0,5,3600,0,9,2,100.0
15,4.4737896802009,3,0,0,0,1,7,3600,0,1,0,85.0
21,3.960037887358068,0,0,0,0,0,2,86400,0,2,1,69.0
42,3.5846471210278774,3,1,0,1,1,6,3600,0,6,0,100.0
28,3.0974780983114396,4,0,1,1,0,2,86400,0,3,0,100.0
9,2.846559215024125,4,1,0,0,0,1,3600,1,6,0,52.0
38,1.753177141633627,1,0,0,1,1,3,86400,0,4,1,83.0
10,2.6981062451840727,0,1,0,1,1,2,3600,1,7,0,79.0
26,4.230403910346403,4,0,0,0,0,6,86400,0,7,0,70.0
15,3.924067889719659,2,0,1,0,0,5,300,0,4,0,92.0
20,2.1481540950350615,0,1,1,0,0,5,300,0,6,1,97.0
37,2.8998233540916476,0,0,0,0,0,2,300,0,5,0,66.0
13,3.9501696076756336,4,0,1,0,1,7,3600,0,7,1,100.0
10,1.7021536643565676,2,1,0,0,0,7,86400,0,8,1,97.0
20,2.6621777570059777,1,0,0,0,1,3,300,0,4,2,88.0
33,4.055523710621843,4,0,0,1,0,6,3600,0,6,2,80.0
7,2.7116935925103713,2,0,0,1,1,1,86400,0,0,2,82.0
24,1.7328439341943227,0,0,0,1,0,3,300,0,7,1,85.0
40,3.127603105596754,2,1,1,1,0,4,300,0,2,2,100.0
23,4.085227484754887,0,1,0,1,0,2,3600,0,0,2,100.0
30,3.2708566288594794,4,0,0,1,1,4,86400,0,5,2,85.0
7,2.1788373246426955,4,0,0,0,0,2,3600,0,7,1,64.0
23,2.652718860412144,3,0,1,0,0,1,300,1,2,0,54.0
24,2.850370083545797,3,0,0,1,1,3,3600,0,0,2,86.0
36,3.2377990614615806,3,1,0,0,1,6,3600,0,2,2,100.0
11,3.778053077257839,4,0,0,0,1,7,300,0,4,2,82.0
45,1.7966208529219063,1,0,0,1,0,7,300,1,7,2,54.0
37,4.168956099052699,4,1,0,1,0,3,86400,0,8,1,96.0
44,1.5369291090482267,2,1,0,1,1,2,86400,0,8,0,100.0
43,2.6101570040227657,4,0,0,0,0,7,300,1,3,0,37.0
22,1.582260929917973,4,0,1,0,0,5,300,0,7,2,89.0
44,2.6789226760358735,0,0,0,1,0,4,86400,0,4,0,88.0
5,3.0774377966199715,0,1,0,0,1,6,3600,0,2,2,100.0
15,3.035044159744535,0,0,0,0,0,6,300,0,4,2,74.0
32,1.996885041084796,4,0,0,0,1,7,300,0,1,0,79.0
29,3.4372215302868367,1,0,0,1,0,3,3600,0,5,0,88.0
27,1.6343353515140047,2,0,1,1,1,3,86400,0,0,1,100.0
35,3.785720460397246,2,0,1,1,1,2,86400,1,5,2,69.0
34,4.339933301980639,1,1,0,0,0,5,3600,0,4,0,90.0
46,2.519306481453354,1,1,0,0,0,4,300,0,8,1,90.0
39,3.0517181451429956,2,1,0,0,1,5,3600,0,6,0,100.0
11,2.636730834176443,3,0,0,1,0,6,300,0,5,0,87.0
20,1.5201311709121799,0,1,0,0,1,5,86400,0,6,2,100.0
30,2.6576235086853477,0,1,1,0,1,7,300,0,9,1,100.0
6,3.8751607777840396,2,0,0,1,0,2,300,0,4,2,76.0
5,3.2879665265504454,1,0,1,0,0,5,300,0,0,0,89.0
16,1.8037797438454768,3,0,0,1,0,4,300,1,8,1,52.0
9,4.041418469081355,2,1,1,1,1,6,300,0,4,2,100.0
41,3.0932560346557283,0,0,0,0,0,1,86400,1,3,1,34.0
36,4.025170085234029,4,1,1,0,1,6,3600,0,5,0,100.0
13,3.240664556355088,1,0,0,0,1,1,86400,0,4,1,84.0
45,3.17906533451382,4,1,0,0,0,4,300,0,0,0,82.0
39,1.8157775555910372,2,0,1,0,0,6,3600,0,1,2,92.0
23,2.002079199415884,0,1,0,1,0,6,300,0,3,0,100.0
20,4.416075769489773,3,0,0,0,1,6,86400,0,7,0,85.0
7,2.1854602402643124,4,1,0,1,0,6,86400,1,4,1,75.0
24,4.4323563539711035,3,0,0,0,0,2,300,0,6,1,61.0
28,3.09573811957279,0,0,0,0,1,3,300,0,1,2,85.0
37,1.9073671411918114,4,0,0,0,0,6,3600,0,7,1,67.0
28,1.7979066082610788,3,0,0,1,0,2,3600,0,4,2,81.0
15,2.12659221211722,3,0,0,0,0,4,300,1,3,0,40.0
12,4.276911990076007,4,0,0,1,1,6,3600,0,8,0,85.0
40,2.7424506729846803,0,1,0,1,0,5,300,0,5,1,100.0
42,2.686302803978743,3,0,1,1,0,6,300,0,3,0,100.0
44,2.439618783210522,2,0,1,1,1,7,300,0,7,0,100.0
24,1.9411855516997651,4,0,0,0,0,6,86400,0,2,2,72.0
39,2.9635535915772193,1,0,0,1,1,1,300,0,9,1,79.0
29,1.890143347533416,1,1,0,1,0,5,300,0,1,2,100.0
39,4.0064407091469825,0,0,0,1,0,6,300,0,6,0,82.0
29,2.6111909588259197,2,1,0,0,0,6,3600,0,3,0,100.0
33,2.624410703345389,3,0,0,1,0,6,300,0,3,0,82.0
22,2.9220192854494678,1,0,0,0,0,2,86400,0,9,1,74.0
22,2.8323831394972547,0,1,0,0,0,4,86400,0,8,0,98.0
6,4.484573919177965,2,0,0,1,0,1,300,1,1,0,44.0
39,3.1361433636549076,2,0,0,1,0,6,300,0,0,2,84.0
20,1.7646051113696122,0,0,0,1,0,4,300,1,6,1,57.0
45,3.3206320247307897,0,1,0,1,0,1,86400,1,7,0,69.0
40,1.9547528786096398,3,0,0,0,0,1,3600,0,2,2,59.0
37,1.592812934194026,0,0,1,0,1,7,3600,0,1,0,100.0
8,4.412226461031745,3,0,0,1,0,1,300,0,3,2,69.0
37,3.820616674603692,3,0,0,0,0,6,3600,0,1,0,65.0
18,4.440326977241301,4,1,0,1,1,2,86400,0,1,1,99.0
25,2.9336353440667273,2,0,0,0,0,6,300,0,4,1,77.0
24,3.0967725934469286,2,0,0,0,0,6,3600,0,9,2,77.0
12,2.005010867757391,2,1,0,1,0,4,300,0,4,0,100.0
11,2.240722280002757,4,0,1,0,1,3,300,1,7,1,73.0
7,4.015647644708484,3,0,0,1,0,3,86400,0,8,0,76.0
21,2.5685569413527825,3,0,0,0,1,7,86400,1,1,1,60.0
37,3.9804449213892568,0,0,0,0,1,3,3600,0,0,2,81.0
16,3.6270411728610954,4,0,0,1,0,4,86400,0,2,1,83.0
26,2.0315127758155964,0,0,1,0,1,5,300,0,5,0,100.0
26,3.022339098359226,4,0,0,1,0,7,86400,1,4,0,57.0
34,3.5321619645561504,0,0,0,0,0,4,3600,0,7,0,68.0
42,2.2051116444114753,1,0,0,0,0,1,3600,0,7,2,67.0
42,3.9920655315602307,2,0,0,1,1,6,3600,1,1,2,55.0
49,3.1344829726355603,2,0,0,1,0,5,86400,0,8,0,87.0
12,1.9957261513278097,3,1,0,0,0,1,86400,0,3,0,84.0
31,3.2489532784938073,1,0,0,1,1,7,86400,1,0,1,57.0
31,4.499141412467742,2,1,0,1,1,6,86400,1,1,1,75.0
38,1.9515644749902408,3,0,1,0,1,6,86400,0,5,1,100.0
25,3.9502707903585845,1,1,0,0,0,7,3600,0,4,0,95.0
34,2.1219270095626737,2,1,0,1,0,1,3600,1,6,1,72.0
37,3.847164988380262,0,0,0,0,0,4,86400,1,8,0,38.0
32,3.7037337693642396,4,0,0,0,1,3,300,0,5,2,73.0
37,2.401468156801297,1,0,0,1,0,5,3600,0,5,1,90.0
9,2.4774693526933493,3,0,1,0,1,7,300,0,1,0,100.0
23,3.8775641758887573,1,0,0,1,0,7,300,0,6,0,87.0
8,2.884336535661938,3,1,0,1,1,6,3600,0,1,2,100.0
39,3.6924540861354265,1,0,1,1,1,2,300,0,6,2,96.0
21,1.9439524420975043,3,0,0,1,1,6,300,0,7,2,84.0
48,4.057673345704661,2,0,1,0,0,3,3600,0,0,2,86.0
32,3.6326541500469576,0,0,0,0,0,6,3600,0,8,1,70.0
34,4.220828426504502,2,1,0,0,0,2,86400,0,7,2,84.0
33,1.8971171371049174,0,1,0,1,0,7,3600,0,8,0,100.0
10,3.279043501081793,2,0,1,0,0,4,300,1,4,0,62.0
39,3.2973617551209755,2,0,0,0,1,6,3600,1,3,0,57.0
45,2.5603822216403476,1,0,0,1,0,5,86400,0,0,0,90.0
41,2.8753992737077736,4,1,1,1,1,4,3600,1,8,0,73.0
28,1.6139446898695604,3,0,0,0,0,2,300,0,3,2,63.0
33,3.737580115881036,3,0,0,0,0,1,3600,0,3,0,57.0
35,3.147967438209522,3,1,0,1,0,6,300,1,3,2,69.0
39,1.6732231556075212,0,0,0,1,1,7,3600,0,1,2,87.0
37,3.5422676788814567,3,1,0,0,0,7,86400,0,3,2,85.0
25,2.9003462316935638,3,0,0,0,1,4,86400,0,1,2,88.0
36,1.603383778275,1,1,1,1,0,6,3600,0,7,1,100.0
27,4.408823180544286,2,0,0,1,1,5,300,0,6,1,87.0
37,4.347336429268322,3,0,0,1,0,6,86400,1,9,1,50.0
7,3.0387072484415927,4,0,1,0,0,4,300,0,1,1,82.0
22,1.7810172621177305,3,1,0,0,1,3,3600,1,1,1,73.0
29,3.7638636647957755,0,0,0,1,1,4,86400,1,1,0,58.0
46,2.975793300317187,0,0,0,0,0,2,86400,0,0,1,69.0
35,2.4073424348681396,0,0,0,0,1,4,300,0,5,0,85.0
7,2.9742545325856704,3,0,1,0,0,7,86400,0,5,0,90.0
44,3.067332436216393,1,0,0,1,1,5,300,0,0,2,84.0
28,3.1881350970670175,4,1,0,1,0,4,300,0,0,2,100.0
36,2.8236711409659794,3,0,0,1,0,4,3600,1,5,2,53.0
26,3.31726590941717,1,0,0,1,0,5,300,0,5,1,89.0
27,4.256204131819132,1,0,0,1,1,4,86400,0,3,0,88.0
6,2.5868042612957733,3,0,0,1,1,7,300,0,2,1,82.0
31,3.6771493896598475,3,0,0,0,0,5,86400,0,8,2,65.0
46,4.183357670472697,1,0,1,0,1,7,300,0,5,2,100.0
6,2.867937827279811,1,0,0,1,0,7,3600,1,0,0,60.0
30,2.830367509145712,1,0,0,0,1,7,3600,1,2,0,65.0
21,3.3063509560643385,3,1,0,1,0,2,300,0,0,2,98.0
44,3.2742202782674643,1,0,1,0,0,5,300,0,2,1,89.0
37,3.919768026978831,0,0,0,0,0,2,300,0,1,1,61.0
13,2.929450151334878,3,1,0,1,0,2,3600,0,4,0,100.0
47,4.4883688489183236,0,1,1,1,0,5,300,0,2,2,100.0
43,1.6784147066018424,2,0,1,1,1,4,300,0,6,1,100.0
33,1.5095035457421053,3,0,0,1,0,6,86400,0,7,0,82.0
46,3.4205949346788715,2,1,0,0,1,3,3600,0,6,0,100.0
30,2.39530473708563,1,0,0,0,1,6,3600,0,1,0,95.0
39,2.2211471660984516,1,0,1,1,0,7,300,0,9,1,100.0
29,2.4356972400128414,4,0,0,0,0,5,300,0,9,0,72.0
28,2.2681426953148627,1,0,1,0,1,4,86400,0,6,1,100.0
17,1.5923701489813435,2,0,0,0,1,2,300,0,9,0,83.0
11,4.4145991271717655,1,1,0,0,1,1,3600,0,2,1,100.0
40,2.1622364653583452,3,0,0,1,1,3,86400,1,6,2,51.0
49,3.702089287767919,1,0,0,1,0,6,3600,0,0,1,85.0
24,3.7877891840825257,4,0,0,1,1,4,300,0,1,2,80.0
5,4.287772194021688,1,0,0,1,0,7,86400,1,9,0,55.0
12,1.59164837128014,2,1,1,0,0,3,3600,0,0,1,93.0
20,4.116145015341023,2,0,0,0,1,7,3600,0,8,0,90.0
18,3.0816785425194007,1,1,0,0,1,1,3600,0,1,2,100.0
16,3.3976323298974838,2,0,0,0,1,1,300,0,1,0,81.0
27,3.433410831363101,2,0,0,0,0,1,300,0,5,0,66.0
19,3.9593934149541825,4,1,0,0,1,6,300,0,6,0,100.0
32,2.5002219664773317,3,0,0,1,1,7,300,0,1,2,82.0
38,3.6991535695799804,4,0,1,1,1,5,3600,0,3,2,100.0
6,3.0857343291665913,0,1,0,1,0,3,86400,1,2,1,73.0
36,3.880182042916043,4,0,0,1,1,5,300,0,4,1,77.0
27,4.4716380983104,1,1,0,0,0,7,86400,0,8,1,95.0
26,2.1019530522112837,3,1,0,0,1,1,3600,0,1,1,100.0
29,4.483945924679993,1,0,0,0,1,4,300,0,4,0,85.0
26,1.7694364628483221,0,0,1,0,1,1,3600,0,7,2,100.0
26,1.5069526437144416,3,0,1,0,0,5,300,0,5,2,89.0
46,1.632485808533494,2,0,0,0,0,1,300,0,3,0,61.0
10,2.525347214210285,4,1,0,1,0,7,86400,0,9,1,100.0
